1911935,2008,2262543,11480406,1578473,9972495,1658941,355887,757847,8978036,7894010,251148,612008,753568,168433,4103076,817086,589084,476020,400265,19138,50865921,3882479,1658941,12560,6318059,9495946,2965582,1392862,1443017,-765040,22750,1553011,64281,170382,1782006,1292547,753568,3514652,80000,5019,39752,35682374,14249544,44293427,29492530,415854,5312516,2099715,3994145,1308254,419358,-128328,122666,1245393,1098296,81146,934003
2695661,2009,3324742,14496808,779112,15319215,2870221,355422,1059829,9324800,11388496,253760,383749,2968629,440282,4714533,1332735,613773,778375,643918,10306,68342322,4906503,2870221,,8484861,13046804,2519706,2337628,2398720,77715,16966,2213477,92830,189664,1939965,2396393,2968629,3632681,,3924,296769,50393456,16825267,60272563,40623339,692933,7044382,2567928,5781583,784726,737940,12560,11871,2064163,1391420,130841,1123599
3476482,2010,4360201,15383207,1289877,17563925,3016569,449664,1389783,12103670,14208039,342706,567444,4972718,917989,6523505,1146739,891290,1466504,655245,50032,84152357,6578413,3016569,40139,10056477,15441206,2772669,2744694,3097927,-321345,136302,2976325,91256,260693,1322817,1719310,4972718,3755790,,89167,439232,59190359,23093872,70263874,47335026,1149077,8754968,2410294,7091971,1198477,315263,83597,497163,2589558,2002149,231506,1868126
2243093,2011,2635136,21471967,3223529,23873425,3623096,494200,2118700,14988379,14588455,819972,864274,4156083,514091,7003824,1580462,1194946,1925610,1128836,61741,105368114,11183349,3789731,5305,11149367,21542885,3068804,2458428,2409032,-990041,170046,7526477,74986,393343,693099,6940702,4156083,3884198,,,623545,79079339,24231717,86254456,60157354,1462901,10953233,2431703,8492623,2356319,946687,-88675,1064549,429510,2368710,163084,2057058
-2604621,2012,-1983200,24126423,4282220,22068176,4165514,742551,2019341,11442389,13666100,1092335,1206642,4018484,455768,7096624,824387,1087038,2446934,1218605,90017,107446306,17923607,4168932,105739,11478102,18115877,3459545,3106638,2346526,-1161974,205783,8127193,267082,291457,4524420,989990,4018484,6107993,,,592282,84807576,21502474,84219358,64091546,1191951,11180633,2281472,8829194,2331164,467050,-107396,1258886,-5002162,3081253,62291,236341
375923,2013,1827843,20903035,3500671,21393257,3338801,751405,1729163,12434352,12137144,1630271,366762,2311525,478037,7449476,177423,1236755,2932148,1353033,70942,100079497,12589032,3377374,67779,8498021,16492534,3682564,2776366,2462006,-1251859,34963,8478144,408845,601111,2753925,5385673,2311525,6119590,,,1430509,76453808,22532648,75233724,53125904,1079532,10003850,2202267,7383892,2460303,1589486,204010,914406,-1493094,3465428,144491,75979
1558172,2014,3538222,18115874,2086771,25152963,3160705,682778,2159677,19592298,11033468,1739664,266501,1701978,461316,7348292,262863,1364695,3483505,1284493,53287,106214196,10998077,3175432,70604,10381688,19244400,3825106,3305520,2806947,-2790280,8113,7531970,451507,741391,6174257,10039687,1701978,,,,1349356,79921692,24878574,81471275,55760104,1331243,10259165,2031445,9008537,2100977,1202232,148282,134474,60328,3787643,309749,1413930
2536966,2015,4303532,28025009,3463358,25251287,1272068,640113,2970258,19731741,13928446,2381467,362831,1593528,560939,7692175,643789,4224446,789815,1434143,32790,120893897,7907572,1273346,19840,9885129,22932866,4423103,4035638,3644694,-2329886,7418,6005130,438920,776682,4617604,6016254,1593528,,,,1341011,77545292,29660094,100186389,69100447,1303580,11771666,2383355,12200542,1430794,2187471,-183682,695619,320471,4442945,459884,4367184
-4224145,2016,-767751,32349914,1984493,25998188,2261280,1739691,4430072,26810568,9345123,2659667,1376563,1391746,665876,7516241,1729450,4354096,1365890,1604575,34953,141640910,15132120,2263015,40148,11689957,25243881,5876790,8092164,5169051,997189,50317,13660418,712657,887366,1932025,5018276,1391746,,,,1563991,100755820,26401151,101233182,70100658,868208,12458152,2487918,12762055,207773,2853127,29978,1640279,1165548,4361548,6294847,5162612
5386342,2017,6718924,33407879,2052945,24345283,1080449,591664,3629933,26234139,9012909,3181668,1244760,2608006,3960597,8694456,1472986,4741615,1902077,1464250,34983,143962215,14719023,1080472,49830,10848511,23614556,8050655,8702351,7389544,1263723,1322,7070099,454891,533126,3816844,3002146,2948006,,,,3340669,98582068,31646875,108815273,75005818,942119,12104355,3057208,12962245,1043482,2533608,58301,2540328,6752930,159277,193283,4411945
